"stat_name","beta","sd"
"goals",0,1.557002671646
"behinds",0,1.15797592045336
"shots_at_goal",0,3.69007528802764
"score_involvements",0,10.3301294496969
"goal_assists",0,0.797587866563686
"kicks",0.858816029558034,28.2436888525744
"handballs",0.318335655330089,22.9506562540885
"disposals",0.704488661422373,48.6573615307248
"marks",0.466346315840219,8.9319348878044
"contested_possessions",0.993710426268374,22.3010996906418
"uncontested_possessions",0.587476312043208,27.5833714698122
"contested_marks",0.49033801388172,1.46900410658217
"ground_ball_gets",0,1
"clearances",0.606405234728586,7.20100709991459
"inside50s",1.43117755651509,7.26668194770483
"marks_inside50",0.583366961331349,1.98722856759813
"rebound50s",-1.6121625631212,5.62847431895863
"metres_gained",0.929224298664945,692.970831523153
"tackles",0.190673802143316,15.9346046140106
"spoils",0,1
"intercepts",0.238090254827861,11.3134343336191
"one_percenters",0.179322204765118,5.72621669369553
"pressure_acts",0,1
"hitouts",-0.325745726165697,14.9789310208873
"hitouts_to_advantage",0,1
"frees_for",0.512961577762199,3.45035505509959
"frees_against",-0.810791933882371,3.48763895612329
"clangers",-0.375820001755846,9.49249607507275
"turnovers",0.0906185829860679,10.7700538454002
"def_half_pressure_acts",0,1
"centre_clearances",-0.0513326100848219,1.6859073888552
"stoppage_clearances",0.59464507836838,6.01559625010054
"tackles_inside50",0.19582516953448,3.41313409190723
"contest_def_one_on_ones",0,1
"contest_off_one_on_ones",0,1
"contest_off_wins",0,1
"contest_def_losses",0,1
"disposal_efficiency",0.694591598999686,0.443428287432138
"goal_accuracy",0,0.623159476697936
"contested_poss_rate",0.653776975711663,0.391649907207873
"hitout_win_pct",-0.214675162270972,1.47210164824685
"kick_efficiency",-0.212598212897929,1.47210269113361
